respondent_id,group,item_01,item_02,item_03,item_04,item_05,item_06,item_07,item_08,item_09,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20
R0028,reference,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
R0029,reference,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
R0030,reference,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0
R0031,reference,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
R0032,reference,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
R0033,reference,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
R0034,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
R0035,reference,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0
R0036,reference,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0
R0037,reference,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
R0038,reference,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
R0039,reference,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
R0040,reference,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0
R0041,reference,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
R0042,reference,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0
R0043,reference,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
R0044,reference,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
R0045,reference,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0
R0046,reference,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
R0047,reference,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0
R0048,reference,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0
R0049,reference,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0
R0050,reference,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
R0051,reference,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
R0052,reference,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0
R0053,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
R0054,reference,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0
R0055,reference,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0
R0056,reference,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
R0057,reference,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
R0058,reference,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1
R0059,reference,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
R0060,reference,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
R0061,reference,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0
R0062,reference,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
R0063,reference,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
R0064,reference,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
R0065,reference,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
R0066,reference,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
R0067,reference,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
R0068,reference,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0
R0069,reference,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0
R0070,reference,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0
R0071,reference,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
R0072,reference,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
R0073,reference,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
R0074,reference,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
R0075,reference,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
R0076,reference,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0
R0077,reference,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0
R0078,reference,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1
R0079,reference,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0
R0080,reference,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
R0081,reference,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
R0082,reference,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
R0083,reference,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0
R0084,reference,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R0085,reference,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1
R0086,reference,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0
R0087,reference,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0
R0088,reference,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0
R0089,reference,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
R0090,reference,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
R0091,reference,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
R0092,reference,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0093,reference,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
R0094,reference,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
R0095,reference,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
R0096,reference,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
R0097,reference,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
R0098,reference,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R0099,reference,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0
R0100,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0
R0101,reference,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0
R0102,reference,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
R0103,reference,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
R0104,reference,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0
R0105,reference,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
R0106,reference,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
R0107,reference,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
R0108,reference,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
R0109,reference,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
R0110,reference,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0
R0111,reference,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
R0112,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
R0113,reference,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0
R0114,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
R0115,reference,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
R0116,reference,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
R0117,reference,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
R0118,reference,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0
R0119,reference,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
R0120,reference,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
R0121,reference,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
R0122,reference,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
R0123,reference,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0124,reference,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
R0125,reference,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
R0126,reference,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0
R0127,reference,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
R0128,reference,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0
R0129,reference,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R0130,reference,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
R0131,reference,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
R0132,reference,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
R0133,reference,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
R0134,reference,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1
R0135,reference,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
R0136,reference,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
R0137,reference,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0
R0138,reference,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
R0139,reference,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R0140,reference,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0
R0141,reference,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
R0142,reference,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
R0143,reference,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
R0144,reference,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0
R0145,reference,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0146,reference,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0147,reference,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
R0148,reference,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
R0149,reference,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
R0150,reference,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
R0151,reference,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
R0152,reference,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
R0153,reference,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
R0154,reference,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0155,reference,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
R0156,reference,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
R0157,reference,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
R0158,reference,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
R0159,reference,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0160,reference,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0
R0161,reference,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
R0162,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
R0163,reference,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
R0164,reference,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
R0165,reference,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
R0166,reference,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0
R0167,reference,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
R0168,reference,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0
R0169,reference,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0
R0170,reference,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
R0171,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0
R0172,reference,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
R0173,reference,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
R0174,reference,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0
R0175,reference,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0
R0176,reference,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
R0177,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
R0178,reference,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
R0179,reference,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
R0180,reference,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
R0181,reference,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0
R0182,reference,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
R0183,reference,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
R0184,reference,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
R0185,reference,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0
R0186,reference,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
R0187,reference,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
R0188,reference,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0
R0189,reference,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
R0190,reference,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
R0191,reference,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
R0192,reference,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
R0193,reference,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
R0194,reference,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0195,reference,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
R0196,reference,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0197,reference,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0
R0198,reference,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0
R0199,reference,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1
R0200,reference,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
R0201,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
R0202,reference,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0
R0203,reference,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0
R0204,reference,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0
R0205,reference,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0
R0206,reference,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
R0207,reference,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
R0208,reference,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
R0209,reference,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
R0210,reference,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0
R0211,reference,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0212,reference,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
R0213,reference,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0
R0214,reference,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0
R0215,reference,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
R0216,reference,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0
R0217,reference,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
R0218,reference,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
R0219,reference,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
R0220,reference,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
R0221,reference,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
R0222,reference,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0223,reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0224,reference,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0
R0225,reference,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
R0226,reference,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0
R0227,reference,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0
R0228,reference,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0
R0229,reference,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0
R0230,reference,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
R0231,reference,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0
R0232,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0
R0233,reference,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
R0234,reference,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0
R0235,reference,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0
R0236,reference,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
R0237,reference,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0
R0238,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0
R0239,reference,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0
R0240,reference,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0241,reference,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0
R0242,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
R0243,reference,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
R0244,reference,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
R0245,reference,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0
R0246,reference,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0
R0247,reference,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0
R0248,reference,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R0249,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0
R0250,reference,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R0251,reference,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
R0252,reference,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
R0253,reference,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
R0254,reference,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
R0255,reference,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
R0256,reference,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
R0257,reference,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
R0258,reference,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0
R0259,reference,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R0260,reference,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
R0261,reference,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
R0262,reference,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
R0263,reference,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0
R0264,reference,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
R0265,reference,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
R0266,reference,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0
R0267,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
R0268,reference,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R0269,reference,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
R0270,reference,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1
R0271,reference,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
R0272,reference,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
R0273,reference,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1
R0274,reference,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
R0275,reference,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
R0276,reference,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R0277,reference,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
R0278,reference,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
R0279,reference,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0
R0280,reference,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
R0281,reference,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
R0282,reference,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
R0283,reference,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
R0284,reference,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
R0285,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
R0286,reference,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
R0287,reference,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0
R0288,reference,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0
R0289,reference,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1
R0290,reference,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1
R0291,reference,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
R0292,reference,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
R0293,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0
R0294,reference,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
